INFO     - 2018-10-06 01:42:31,250 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('123456789', 5, 32.5)
INFO     - 2018-10-06 01:42:31,340 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('123456789', 6, 7.5)
INFO     - 2018-10-06 01:42:31,384 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666884444', 7, 40.0)
INFO     - 2018-10-06 01:42:31,429 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('453453453', 5, 20.0)
INFO     - 2018-10-06 01:42:31,474 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('453453453', 6, 20.0)
INFO     - 2018-10-06 01:42:31,518 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333445555', 7, 10.0)
INFO     - 2018-10-06 01:42:31,520 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333445555', 7, 10.0)
INFO     - 2018-10-06 01:42:31,563 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333445555', 10, 10.0)
INFO     - 2018-10-06 01:42:31,608 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333445555', 20, 10.0)
INFO     - 2018-10-06 01:42:31,652 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('242535609', 70, 20.0)
INFO     - 2018-10-06 01:42:31,697 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('242535609', 62, 20.0)
INFO     - 2018-10-06 01:42:31,742 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999887777', 30, 30.0)
INFO     - 2018-10-06 01:42:31,775 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999887777', 10, 10.0)
INFO     - 2018-10-06 01:42:31,809 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('987987987', 10, 35.0)
INFO     - 2018-10-06 01:42:31,843 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('987987987', 30, 5.0)
INFO     - 2018-10-06 01:42:31,876 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('987654321', 30, 20.0)
INFO     - 2018-10-06 01:42:31,910 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('987654321', 20, 15.0)
INFO     - 2018-10-06 01:42:31,912 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('888665555', 20, 5.0)
INFO     - 2018-10-06 01:42:31,944 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111111100', 61, 40.0)
INFO     - 2018-10-06 01:42:31,977 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111111101', 61, 40.0)
INFO     - 2018-10-06 01:42:32,011 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111111102', 61, 40.0)
INFO     - 2018-10-06 01:42:32,044 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111111103', 61, 40.0)
INFO     - 2018-10-06 01:42:32,089 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222200', 62, 40.0)
INFO     - 2018-10-06 01:42:32,123 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222201', 62, 48.0)
INFO     - 2018-10-06 01:42:32,156 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222202', 62, 40.0)
